title,company,location,posted_time,description,link
Sr Data Engineer with...,Amtex Systems Inc.,"New York, NY",20 hours ago,Sr Data Engineer Full Time NYC Key Responsibilities: Lead implementation of data strategy using enterprise data lake solution. Spark...,https://www.dice.com/jobs/detail/Sr-Data-Engineer-with-Python%26%2347Spark%26%2347ETL%26%2347AWS-Amtex-Systems-Inc.-New-York-NY-10001/10124954/12345
Java / Python Developer for Quant...,Gambit Technologies Inc,"New York, NY",1 day ago,"An elite quant hedge fund is searching for a Java / Python developers to build a Greenfield, Portfolio Rebalancing Platform",https://www.dice.com/jobs/detail/Java-%26%2347-Python-Developer-for-Quant-Research-Gambit-Technologies-Inc-New-York-NY-10001/10116662/CR342395628
Python STUD - Create a Uniqe and...,Tech-Nique Partners,"New York, NY",3 weeks ago,YOU WONT BE THE SMARTEST GUY IN THE ROOM IN THIS COMPANY: Cutting edge tech company that is disrupting BioPharma,https://www.dice.com/jobs/detail/Python-STUD-%26%2345-Create-a-Uniqe-and-Different-take-on-DevOPS-%26%2345-Tech%26%2345Nique-Partners-New-York-NY-10001/90633158/6278804
Python Developer,Eclaro,"New York, NY",2 weeks ago,Python Developer Job Number: 19-06177 Grab the opportunity to achieve your full potential! Eclaro is looking for a Python Developer,https://www.dice.com/jobs/detail/Python-Developer-Eclaro-New-York-NY-10036/ndi/19%26%234506177
Python Developer,Synechron Inc.,"New York City, NY",3 weeks ago,We Have an Urgent requirement for Python Developer New York City If you are interested for this position please share,https://www.dice.com/jobs/detail/Python-Developer-Synechron-Inc.-New-York-City-NY-10001/10111699/6340169
Lead Python Engineer,Shain Associates,"Nyc, NY",1 week ago,Seeking a Principal Data Engineer to lead ongoing development of the Data Cloud (SDC). The candidate will demonstrate a successful,https://www.dice.com/jobs/detail/Lead-Python-Engineer-Shain-Associates-Nyc-NY-10001/10145990/5981082
Python Developer ( NO THIRD...,JK Partners Inc,"Ny, NY",7 days ago,The optimal candidate will have a minimum of 4 years’ hands-on development experience with an excellent technical background....,https://www.dice.com/jobs/detail/Python-Developer-%28-NO-THIRD-PARTIES%29-JK-Partners-Inc-Ny-NY-10001/10379290/5920798
VP Engineering / eCommerce / Python,Cypress Group,"New York, NY",7 days ago,My client is a very well-funded stealth-mode startup building a novel high-traffic consumer-facing platform that will transform an...,https://www.dice.com/jobs/detail/VP-Engineering-%26%2347-eCommerce-%26%2347-Python-Cypress-Group-New-York-NY-10001/10121728/6336975
"Software Engineer, Python",Cypress Group,"New York, NY",7 days ago,Well-knownindustry leader is changing the way they use technology to leverage their business. Innovation and best-of-breed practices...,https://www.dice.com/jobs/detail/Software-Engineer%2C-Python-Cypress-Group-New-York-NY-10018/10121728/JR%26%2345PY%26%234509
"Quant Research Lead - Trading,...",The Forum Group,"New York, NY",3 days ago,Highly profitable Trading/Market Making firm in business for years seeks a Quantitative Research Lead with strong Data Analysis and...,https://www.dice.com/jobs/detail/Quant-Research-Lead-%26%2345-Trading%2C-Python-Data-Analytics-The-Forum-Group-New-York-NY-10001/forumper/NGF500
Java Python Developer,Infinity Consulting Solutions,"Newark, NJ",11 hours ago,Job Description - Java Python Developer What You Will Do: Build and maintain new and existing applications in preparation for,https://www.dice.com/jobs/detail/Java-Python-Developer-Infinity-Consulting-Solutions-Newark-NJ-07101/10143403/19%26%234507304
Python Scala ElasticSearch Lead,Velocity Technology Resources,"Phoenix, NY",moments ago,Velocity Technology is currently seeking an experienced Python/Scala ElasticSearch developer/architect/engineer for our FINTEC client...,https://www.dice.com/jobs/detail/Python-Scala-ElasticSearch-Lead-Velocity-Technology-Resources-Phoenix-NY-10010/80108439/19%26%234500120
Expert SQL & Python / Tableau,Solomon Page,"New York, NY",9 hours ago,"The Database Engineer is responsible for participating in the design, implementation, and maintenance of reporting and database...",https://www.dice.com/jobs/detail/Expert-SQL-%26-Python-%26%2347-Tableau-Solomon-Page-New-York-NY-10001/solopft/129999
Data Engineer / Python / Spark,Cypress Group,"New York, NY",7 days ago,My client is an innovative leader in the cybersecurity industry. Their systems consume and process huge volumes (multi-terabytes) of...,https://www.dice.com/jobs/detail/Data-Engineer-%26%2347-Python-%26%2347-Spark-Cypress-Group-New-York-NY-10018/10121728/JR%26%2345data%26%234508
Python Airflow developer,Velocity Technology Resources,"New York, NY",moments ago,"Our client, a global services firm located in midtown NYC seeks a Python and Airflow developer to join their growing",https://www.dice.com/jobs/detail/Python-Airflow-developer-Velocity-Technology-Resources-New-York-NY-10005/80108439/19%26%234500116
TWO Lead Software Engineers...,DBA Web Technologies,"New York, NY",moments ago,"TWO Lead Software Engineers (Python, React, MVC Framework, JavaScript, Django, GraphQL, Scala, Spark, Kafka, ElasticSearch) in NYC...",https://www.dice.com/jobs/detail/TWO-Lead-Software-Engineers-%28Python%2C-React%2C-MVC-Framework%2C-JavaScript%2C-Django%2C-GraphQL%2C-Scala%2C-Spark%2C-Kafka%2C-ElasticSearch%29-in-NYC-DBA-Web-Technologies-New-York-NY-10001/10216777/B_React_Django
Senior QA Automation Engineer -...,Kforce Technology Staffing,"New York, NY",11 hours ago,"RESPONSIBILITIES: Kforce is working with one of the fastest growing technology firms located in New York, New York (NY). This",https://www.dice.com/jobs/detail/Senior-QA-Automation-Engineer-%26%2345-Ruby%2C-Java%2C-Python-Kforce-Technology-Staffing-New-York-NY-10016/kforcecx/ITAQG1860339
"Data Engineer - AWS, Python",Kforce Technology Staffing,"New York, NY",11 hours ago,"RESPONSIBILITIES: Kforce is working with a growing technology firm (a startup within a larger organization), and they are searching...",https://www.dice.com/jobs/detail/Data-Engineer-%26%2345-AWS%2C-Python-Kforce-Technology-Staffing-New-York-NY-10005/kforcecx/ITAQG1831541
Python Django Developer,Chenoa Information Services,"Brooklyn,, NY",moments ago,"Chenoa direct cleint is looking for a Python Django Developer for their Brooklyn, NY location. Role: Python Django Developer Location:",https://www.dice.com/jobs/detail/Python-Django-Developer-Chenoa-Information-Services-Brooklyn%2C-NY-11201/chenj001/19%26%234500268
Sr. Python Developer,Brooksource,"Manhattan, NY",moments ago,"Sr. Python Engineer New York, New York Long term contract-to-hire We are looking for a passionate Python Engineer to join",https://www.dice.com/jobs/detail/Sr.-Python-Developer-Brooksource-Manhattan-NY-10024/10110651/JO190997574%26%2345608
Python Developer (Django),New York Technology Partners,"Brooklyn, NY",1 week ago,"Python Django Developer Brooklyn, NY Requirements Excellent Python coding skills and understanding of Python best practices (PEP8) 4-6...",https://www.dice.com/jobs/detail/Python-Developer-%28Django%29-New-York-Technology-Partners-Brooklyn-NY-11201/10119106/A_Python
Python Developer,Norgate Technology Inc,"New York, NY",3 days ago,*******Sponsorship is not available for this position************ *****no third party firms********* Employer will not pay for...,https://www.dice.com/jobs/detail/Python-Developer-Norgate-Technology-Inc-New-York-NY-10005/norny001/0426717%26%23454
Perl/Python Developer with SQL...,ISOFT,"New York, NY",1 week ago,"Title: Python/Perl Developer with SQL Skills Location: New York, NY Contract: C2C, W2, 1099 Please share the profiles at Jobs",https://www.dice.com/jobs/detail/Perl%26%2347Python-Developer-with-SQL-Skills-ISOFT-New-York-NY-75201/91074842/1134
Python Developer,Eclaro,"New York, NY",4 days ago,"Hi, My name is Eric Jones. I'm a recruiter with a staffing firm called Eclaro. Our client in New York,",https://www.dice.com/jobs/detail/Python-Developer-Eclaro-New-York-NY-10001/ndi/EL%26%2345NYCPYTDE
Junior Python Developer,Perennial Resources International,"Orangeburg, NY",21 hours ago,Junior Python Developer My name is Bill Stevens and I have a new twelve month plus Junior Python Developer position,https://www.dice.com/jobs/detail/Junior-Python-Developer-Perennial-Resources-International-Orangeburg-NY-10962/10124617/PRI%26%2345JRPYTHON%26%2345O
UI Python Developer - Real-time...,Huxley Banking & Financial Services,"Manhattan, NY",moments ago,UI Python Developer - Real-time Trading Platform @ Financial Technology Firm - Manhattan - Contract Huxley Associates are working on,https://www.dice.com/jobs/detail/UI-Python-Developer-%26%2345-Real%26%2345time-Trading-Platform-Huxley-Banking-%26-Financial-Services-Manhattan-NY-10024/10208648/HA33196078%26%2345893
Junior Python Developer,TekTalent Inc,"New York, NY",1 week ago,"Requirement: Junior Python Developer Work Location : CA, TX, NJ, OH Qualification: Candidates with Bachelor / master’s degree...",https://www.dice.com/jobs/detail/Junior-Python-Developer-TekTalent-Inc-New-York-NY-10001/91018033/020119
Python Analytics Consultant,System Edge (USA) L.L.C.,"Jersey City, NJ",7 days ago,"Hi All, We are looking for a Python Analytics Consultant at NY & NJ Location for a long term contract",https://www.dice.com/jobs/detail/Python-Analytics-Consultant-System-Edge-%28USA%29-L.L.C.-Jersey-City-NJ-07097/10106959/6336481
Python Developer,Oncorre Inc,"Jersey City, NJ",1 month ago,Oncorre is an organization built on a foundation of excellence. The foundation is strengthened each day by the determination and,https://www.dice.com/jobs/detail/Python-Developer-Oncorre-Inc-Jersey-City-NJ-07097/91084745/6308969
